,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_and_artist,cluster
31,smells like teen spirit,Nirvana,5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.76100000000001,301920,Smells Like Teen Spirit - Nirvana,1
32,oceaan,Racoon,7GWU6dQFjYF5YpsAUwZfGq,0.593,0.313,9,-8.961,1,0.0383,0.866,0.0,0.10800000000000001,0.21899999999999997,95.904,164757,Oceaan - Racoon,2
33,just breathe,Pearl Jam,6i81qFkru6Kj1IEsB7KNp2,0.473,0.348,0,-11.1,1,0.0288,0.721,7.42e-05,0.0823,0.28300000000000003,107.819,215853,Just Breathe - Pearl Jam,2
34,sweet child o' mine,Guns N' Roses,7snQQk1zcKl8gZ92AnueZW,0.446,0.9520000000000001,6,-5.321000000000001,1,0.0523,0.0901,0.0857,0.11199999999999999,0.624,125.303,356067,Sweet Child O' Mine - Guns N' Roses,5
35,a forest - 2006 remaster,The Cure,3O4TPMOgChXOerSdB5WENH,0.633,0.62,0,-11.270999999999999,1,0.0648,0.34,0.605,0.0977,0.42100000000000004,81.117,354933,A Forest - 2006 Remaster - The Cure,6
36,the sound of silence,Simon & Garfunkel,3YfS47QufnLDFA71FUsgCM,0.535,0.225,6,-13.865,1,0.0301,0.8690000000000001,1.57e-06,0.0988,0.33799999999999997,107.384,184787,The Sound of Silence - Simon & Garfunkel,2
37,door de wind,Miss Montreal,3h7NZT1CATbn4GqUs51vwf,0.579,0.0945,3,-18.377,1,0.0396,0.705,4.27e-06,0.0817,0.353,123.994,170277,Door De Wind - Miss Montreal,2
38,innuendo,Queen,1dG4lTOVFu8RkSzybolp7o,0.33899999999999997,0.449,0,-15.818,1,0.0393,0.0976,0.00021899999999999998,0.114,0.254,72.30199999999999,391267,Innuendo - Queen,2
39,the chain - 2004 remaster,Fleetwood Mac,5e9TFTbltYBg2xThimr0rU,0.545,0.67,9,-8.81,1,0.0496,0.009000000000000001,0.000822,0.0451,0.48100000000000004,151.553,270213,The Chain - 2004 Remaster - Fleetwood Mac,5
40,cold little heart,Michael Kiwanuka,0qprlw0jfsW4H9cG0FFE0Z,0.489,0.40399999999999997,8,-7.815,1,0.0261,0.48700000000000004,0.0485,0.14,0.153,108.01,597600,Cold Little Heart - Michael Kiwanuka,2
41,enter sandman (remastered),Metallica,3VqHuw0wFlIHcIPWkhIbdQ,0.5660000000000001,0.8340000000000001,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,331560,Enter Sandman (Remastered) - Metallica,4
42,in the end,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.8640000000000001,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.14299999999999,216880,In the End - Linkin Park,4
43,dancing queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,0.5429999999999999,0.87,9,-6.513999999999999,1,0.0428,0.358,0.0009390000000000001,0.792,0.754,100.804,230400,Dancing Queen - ABBA,0
44,over de muur,Klein Orkest,5rAG0XusRfyLrzYV7A7lBL,0.612,0.321,0,-15.231,1,0.0506,0.629,1.05e-05,0.14400000000000002,0.287,95.977,209493,Over De Muur - Klein Orkest,2
45,in the air tonight - 2015 remastered,Phil Collins,18AXbzPzBS8Y3AkgSxzJPb,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,336453,In The Air Tonight - 2015 Remastered - Phil Collins,2
46,hurt,Johnny Cash,28cnXtME493VX9NOw9cIUh,0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.37899999999999,216533,Hurt - Johnny Cash,2
47,killing in the name,Rage Against The Machine,59WN2psjkt1tyaxjspN8fp,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.6609999999999999,88.785,313573,Killing In The Name - Rage Against The Machine,3
48,shallow,Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.5720000000000001,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.32299999999999995,95.79899999999999,215733,Shallow - Lady Gaga,2
49,school,Supertramp,6fnachl7fIn5dqIjakfJ57,0.366,0.46799999999999997,4,-14.514000000000001,0,0.0826,0.537,0.0283,0.0664,0.0506,90.281,335286,School - Supertramp,2
50,yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,0.429,0.6609999999999999,11,-7.227,1,0.0281,0.0023899999999999998,0.000121,0.23399999999999999,0.285,173.372,266773,Yellow - Coldplay,5
51,imagine - remastered 2010,John Lennon,7pKfPomDEeI4TPT6EOYjn9,0.547,0.257,0,-12.357999999999999,1,0.0252,0.907,0.183,0.0935,0.16899999999999998,75.752,187867,Imagine - Remastered 2010 - John Lennon,2
52,running up that hill (a deal with god),Kate Bush,1PtQJZVZIdWIYdARpZRDFO,0.629,0.545,10,-13.123,0,0.0546,0.7190000000000001,0.0030800000000000003,0.0604,0.19399999999999998,108.376,298933,Running Up That Hill (A Deal With God) - Kate Bush,2
53,"somebody to love - live at the freddie mercury tribute concert for aids awareness, wembley / 1992",Queen,0c6gaX6Av1GfiXXqfq9Jox,0.43799999999999994,0.893,7,-5.2139999999999995,1,0.0473,0.11699999999999999,3.15e-06,0.987,0.41600000000000004,110.234,307173,"Somebody To Love - Live At The Freddie Mercury Tribute Concert For AIDS Awareness, Wembley / 1992 - Queen",0
54,noodgeval,Goldband,2LcmbuYX7tyR4DWy3b273L,0.856,0.89,2,-6.462999999999999,0,0.0627,0.131,0.0143,0.0614,0.77,139.003,214383,Noodgeval - Goldband,4
55,het dorp - live,Wim Sonneveld,4HWOyz21zZDbHe3mMukrFJ,0.35600000000000004,0.43200000000000005,7,-14.867,1,0.0804,0.828,0.0098,0.6709999999999999,0.46799999999999997,112.53299999999999,198267,Het Dorp - Live - Wim Sonneveld,2
56,creep,Radiohead,70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.10400000000000001,91.844,238640,Creep - Radiohead,2
57,the scientist,Coldplay,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,0.731,1.4599999999999999e-05,0.11,0.213,146.27700000000002,309600,The Scientist - Coldplay,2
58,iron sky,Paolo Nutini,5EpP1lwkAnOAKbfAHUNJkI,0.387,0.626,1,-7.1339999999999995,0,0.0344,0.242,0.0012,0.11,0.316,139.724,373133,Iron Sky - Paolo Nutini,5
59,lola montez,Volbeat,1wnq9TwifJ9ipLUFsm8vKx,0.513,0.875,2,-4.819,1,0.0336,0.000139,3.28e-05,0.0715,0.677,151.986,267680,Lola Montez - Volbeat,5
60,"lose yourself - from ""8 mile"" soundtrack",Eminem,5Z01UMMf7V1o0MzF86s6WJ,0.6920000000000001,0.7440000000000001,2,-4.565,1,0.257,0.00868,0.00042300000000000004,0.359,0.0612,171.37400000000002,326467,"Lose Yourself - From ""8 Mile"" Soundtrack - Eminem",3
61,"paint it, black",The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,0.46399999999999997,0.795,1,-9.267000000000001,1,0.0926,0.0493,0.00244,0.39899999999999997,0.612,158.691,202267,"Paint It, Black - The Rolling Stones",5
62,papa,Stef Bos,6NP6BCW2M2I4vdcnXMAvjl,0.7440000000000001,0.322,0,-13.004000000000001,1,0.0337,0.718,1.62e-06,0.0841,0.294,119.941,193093,Papa - Stef Bos,2
63,a whiter shade of pale - original single version,Procol Harum,78ZqE2tjAxbqEGGlvGnQfT,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,248947,A Whiter Shade of Pale - Original Single Version - Procol Harum,5
64,fool's overture,Supertramp,5pSSEkT0963muzzIjsVkrs,0.406,0.306,3,-10.482000000000001,1,0.0372,0.313,0.0079,0.0727,0.073,135.27200000000002,652560,Fool's Overture - Supertramp,2
65,alive,Pearl Jam,1L94M3KIu7QluZe63g64rv,0.284,0.875,11,-6.069,0,0.0422,0.007520000000000001,0.00046100000000000004,0.402,0.595,75.009,340907,Alive - Pearl Jam,0
66,under pressure - remastered 2011,Queen,11IzgLRXV7Cgek3tEgGgjw,0.6709999999999999,0.711,2,-7.813,1,0.0478,0.42200000000000004,0.0,0.10400000000000001,0.466,113.809,248440,Under Pressure - Remastered 2011 - Queen,1
67,phantom of the opera,Floor Jansen,6ZJ7gv4YmbFAHCHMwsB8ZL,0.47100000000000003,0.8690000000000001,0,-6.136,0,0.0473,0.00251,2.4100000000000003e-05,0.24600000000000002,0.271,131.95600000000002,244176,Phantom Of The Opera - Floor Jansen,5
68,don't stop me now - remastered 2011,Queen,7hQJA50XrCWABAu5v6QZ4i,0.563,0.865,5,-5.277,1,0.16,0.0472,0.00019099999999999998,0.77,0.601,156.27100000000002,209413,Don't Stop Me Now - Remastered 2011 - Queen,0
69,god only knows - remastered 1999,The Beach Boys,0xb6220jAyOgKwukn1VxZ8,0.517,0.42100000000000004,9,-10.772,1,0.0321,0.252,0.0,0.0933,0.447,117.198,171627,God Only Knows - Remastered 1999 - The Beach Boys,2
70,mr. blue sky,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,0.38799999999999996,0.33799999999999997,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,Mr. Blue Sky - Electric Light Orchestra,2
71,bridge over troubled water,Simon & Garfunkel,6l8EbYRtQMgKOyc1gcDHF9,0.149,0.20600000000000002,3,-13.888,1,0.0323,0.8220000000000001,0.0006490000000000001,0.115,0.264,79.764,293120,Bridge Over Troubled Water - Simon & Garfunkel,2
72,uprising,Muse,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.11699999999999999,0.41100000000000003,128.019,304840,Uprising - Muse,5
73,highway to hell,AC/DC,2zYzyRzz6pRmhPzyfMEC8s,0.574,0.9129999999999999,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,Highway to Hell - AC/DC,4
74,sunday bloody sunday - remastered 2008,U2,6C4LXC9UFH1IKiHYOp0BiJ,0.5429999999999999,0.9440000000000001,6,-7.495,1,0.0543,0.402,0.0005639999999999999,0.0373,0.735,101.17399999999999,279440,Sunday Bloody Sunday - Remastered 2008 - U2,1
75,back to black,Amy Winehouse,3FAclTFfvUuQYnEsptbK8w,0.40299999999999997,0.42200000000000004,7,-13.964,0,0.0373,0.134,2.05e-05,0.0861,0.37799999999999995,122.728,241293,Back To Black - Amy Winehouse,2
76,impossible (orchestral version) [live at abbey road],Nothing But Thieves,2KVMuEgVOyOkxxx0xEFNMS,0.38299999999999995,0.647,5,-6.186,1,0.0365,0.0593,5.31e-06,0.0987,0.11199999999999999,82.963,250185,Impossible (Orchestral Version) [Live at Abbey Road] - Nothing But Thieves,5
77,sympathy for the devil,The Rolling Stones,75zMKn5euxQdlkZgu4P42J,0.728,0.6809999999999999,9,-10.943,1,0.221,0.61,0.0,0.0559,0.578,115.944,376800,Sympathy For The Devil - The Rolling Stones,3
78,with or without you - remastered,U2,6ADSaE87h8Y3lccZlBJdXH,0.54,0.429,2,-11.822000000000001,1,0.0285,0.000202,0.355,0.141,0.113,110.171,295516,With Or Without You - Remastered - U2,6
79,"another brick in the wall, pt. 2",Pink Floyd,4gMgiXfqyzZLMhsksGmbQV,0.693,0.39399999999999996,0,-15.882,1,0.0428,0.0782,0.0006940000000000001,0.247,0.721,104.11399999999999,238747,"Another Brick in the Wall, Pt. 2 - Pink Floyd",2
80,somebody to love - remastered 2011,Queen,6cFZ4PLC19taNlpl9pbGMf,0.49700000000000005,0.693,8,-7.024,1,0.0565,0.19,0.0,0.215,0.358,111.539,296493,Somebody To Love - Remastered 2011 - Queen,5
81,sorry,Kensington,07uuo1yEND3oinbFZnYOvx,0.461,0.409,4,-8.479,0,0.0315,0.502,0.0,0.0979,0.0895,133.95600000000002,227440,Sorry - Kensington,2
82,brabant,Guus Meeuwis,0GiWi4EkPduFWHQyhiKpRB,0.40700000000000003,0.466,7,-7.053999999999999,1,0.0311,0.561,0.00894,0.10300000000000001,0.387,81.568,210173,Brabant - Guus Meeuwis,2
83,another love,Tom Odell,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.76899999999999,244360,Another Love - Tom Odell,2
84,let it be - remastered 2009,The Beatles,7iN1s7xHE4ifF5povM6A48,0.44299999999999995,0.40299999999999997,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.46200000000002,243027,Let It Be - Remastered 2009 - The Beatles,2
85,under the bridge,Red Hot Chili Peppers,3d9DChrdc6BOeFsbrZ3Is0,0.5589999999999999,0.345,4,-13.495999999999999,1,0.0459,0.0576,0.000105,0.141,0.45799999999999996,84.581,264307,Under the Bridge - Red Hot Chili Peppers,2
86,old and wise,The Alan Parsons Project,5Jt2AQv1c3RUF5ENtAYF1i,0.375,0.317,0,-11.741,0,0.0315,0.727,2.9199999999999998e-05,0.12300000000000001,0.12,112.00299999999999,295253,Old and Wise - The Alan Parsons Project,2
87,dreams - 2004 remaster,Fleetwood Mac,0ofHAoxe9vBkTCp2UQIavz,0.828,0.49200000000000005,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.15100000000001,257800,Dreams - 2004 Remaster - Fleetwood Mac,1
88,clocks,Coldplay,0BCPKOYdS2jbQ8iyB56Zns,0.5770000000000001,0.7490000000000001,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,307880,Clocks - Coldplay,4
89,angels,Robbie Williams,1M2nd8jNUkkwrc1dgBPTJz,0.429,0.594,4,-6.251,1,0.0277,0.156,4.95e-06,0.1,0.23600000000000002,150.22,265000,Angels - Robbie Williams,5
90,pastorale - remastered,Liesbeth List,2BUfuy4p88WKk3d49B1ayP,0.46299999999999997,0.523,2,-8.605,1,0.0272,0.6459999999999999,0.0,0.28300000000000003,0.34600000000000003,111.838,255573,Pastorale - Remastered - Liesbeth List,2
91,songbird - 2004 remaster,Fleetwood Mac,2JoUtztTqCN4ZhmbRDGPIL,0.58,0.0842,5,-15.52,1,0.0302,0.982,0.00126,0.11,0.38799999999999996,92.12299999999999,200813,Songbird - 2004 Remaster - Fleetwood Mac,2
92,here comes the sun - remastered 2009,The Beatles,6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,9,-10.484000000000002,1,0.0347,0.0339,0.00248,0.179,0.39399999999999996,129.171,185733,Here Comes The Sun - Remastered 2009 - The Beatles,1
93,one,U2,3G69vJMWsX6ZohTykad2AU,0.392,0.534,0,-8.793,1,0.0369,0.245,0.0010400000000000001,0.155,0.325,181.305,276187,One - U2,5
94,deutschland,Rammstein,2bPGTMB5sFfFYQ2YvSmup0,0.521,0.895,7,-5.242000000000001,1,0.0442,5.539999999999999e-05,0.349,0.0985,0.237,120.117,322340,Deutschland - Rammstein,5
95,gimme shelter,The Rolling Stones,6H3kDe7CGoWYBabAeVWGiD,0.634,0.63,1,-8.277000000000001,0,0.031,0.447,0.039,0.17,0.489,118.62799999999999,270773,Gimme Shelter - The Rolling Stones,4
96,suspicious minds,Elvis Presley,1H5IfYyIIAlgDX8zguUzns,0.48700000000000004,0.382,7,-10.889000000000001,1,0.0309,0.0422,4.74e-06,0.41100000000000003,0.7140000000000001,116.557,261280,Suspicious Minds - Elvis Presley,0
97,du hast,Rammstein,6uEvFCaOqXyEidoO8BZbyh,0.64,0.922,9,-6.2829999999999995,0,0.0385,0.0036899999999999997,0.055,0.332,0.716,125.105,234227,Du hast - Rammstein,4
98,private investigations,Dire Straits,0SqUwlygrVkMWkplNvvld1,0.551,0.10099999999999999,4,-20.104,0,0.0309,0.6990000000000001,0.542,0.0811,0.0691,84.40700000000001,406867,Private Investigations - Dire Straits,6
99,whole lotta rosie,AC/DC,4wYq5wugZDzQiMZQYG4wVB,0.292,0.838,9,-4.459,1,0.078,0.0014,0.479,0.0953,0.423,159.17600000000002,333800,Whole Lotta Rosie - AC/DC,6
100,who wants to live forever - remastered 2011,Queen,00QAndVDVfNqNWYdWAhEan,0.135,0.39899999999999997,4,-8.67,0,0.0361,0.5770000000000001,0.0010400000000000001,0.115,0.0383,87.476,295347,Who Wants To Live Forever - Remastered 2011 - Queen,2
101,riders on the storm,The Doors,14XWXWv5FoCbFzLksawpEe,0.55,0.722,11,-11.729000000000001,0,0.0283,0.25,0.0129,0.11,0.716,103.88600000000001,434720,Riders on the Storm - The Doors,4
102,chasing cars,Snow Patrol,5hnyJvgoWiQUYZttV4wXy6,0.56,0.595,9,-4.53,1,0.0274,0.19899999999999998,6.47e-05,0.132,0.14400000000000002,104.01100000000001,267960,Chasing Cars - Snow Patrol,5
103,don't stop believin',Journey,4bHsxqR3GMrXTxEPLuK5ue,0.5,0.748,4,-9.072000000000001,1,0.0363,0.127,0.0,0.447,0.514,118.852,250987,Don't Stop Believin' - Journey,0
104,belfast child,Simple Minds,0eK3xFRXlXQnwDKkbWHhXu,0.14300000000000002,0.392,7,-13.005,1,0.0477,0.302,0.0862,0.10300000000000001,0.295,81.036,404000,Belfast Child - Simple Minds,2
105,jolene,Dolly Parton,2SpEHTbUuebeLkgs9QB7Ue,0.674,0.537,1,-10.970999999999998,0,0.0363,0.5660000000000001,0.0,0.131,0.809,110.57799999999999,161533,Jolene - Dolly Parton,4
106,wuthering heights - 2018 remaster,Kate Bush,4Q3vc39QZjLpGG7cS33kiC,0.483,0.397,1,-10.805,1,0.0301,0.409,0.177,0.14400000000000002,0.517,124.572,268933,Wuthering Heights - 2018 Remaster - Kate Bush,2
107,a sky full of stars,Coldplay,0FDzzruyVECATHXKHFs9eJ,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867,A Sky Full of Stars - Coldplay,5
108,mag ik dan bij jou,Claudia De Breij,6JlJtgJIlMhp8sQ1tKBfdv,0.541,0.29100000000000004,0,-9.478,1,0.0344,0.968,0.0085,0.708,0.188,133.444,206133,Mag ik dan bij jou - Claudia De Breij,2
109,losing my religion,R.E.M.,31AOj9sFz2gM0O3hMARRBx,0.6659999999999999,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.8029999999999999,125.639,268427,Losing My Religion - R.E.M.,4
110,bitter sweet symphony,The Verve,57iDDD9N9tTWe75x6qhStw,0.35600000000000004,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,357267,Bitter Sweet Symphony - The Verve,5
111,the show must go on,Queen,3m86qx7aIeqFcYcQ1UXUvP,0.42100000000000004,0.517,11,-11.49,0,0.035,0.526,1.82e-06,0.136,0.109,84.01100000000001,272107,The Show Must Go On - Queen,2
112,have you ever seen the rain,Creedence Clearwater Revival,2LawezPeJhN4AWuSB0GtAU,0.741,0.6970000000000001,0,-7.028,1,0.0277,0.0664,2.2800000000000002e-05,0.133,0.774,116.109,160133,Have You Ever Seen The Rain - Creedence Clearwater Revival,1
113,when the lady smiles,Golden Earring,6RGmi17H0xpHb7hpMxFwip,0.7040000000000001,0.816,11,-7.121,1,0.0309,0.43799999999999994,0.00891,0.354,0.83,131.577,340027,When The Lady Smiles - Golden Earring,1
114,enjoy the silence,Depeche Mode,4wGSg2Qqpt2sGCWuAZj6EN,0.626,0.667,0,-11.817,0,0.0283,0.209,0.00025699999999999996,0.0779,0.83,112.77600000000001,257631,Enjoy the Silence - Depeche Mode,4
115,the pretender,Foo Fighters,7x8dCjCr0x6x2lXKujYD34,0.433,0.9590000000000001,9,-4.04,1,0.0431,0.000917,0.0,0.027999999999999997,0.365,172.984,269373,The Pretender - Foo Fighters,5
116,blackbird - remastered 2009,The Beatles,5jgFfDIR6FR0gvlA56Nakr,0.6859999999999999,0.127,7,-14.360999999999999,1,0.0342,0.754,1.4099999999999999e-05,0.0573,0.37200000000000005,93.699,138387,Blackbird - Remastered 2009 - The Beatles,2
117,mr. brightside,The Killers,003vvx7Niy0yvhvHt4a68B,0.35200000000000004,0.9109999999999999,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.23600000000000002,148.033,222973,Mr. Brightside - The Killers,5
118,zoutelande - feat. geike,BLØF,5rYilIuAwh6HhpVB44HI31,0.67,0.643,6,-7.1979999999999995,0,0.0286,0.221,1.58e-05,0.142,0.893,129.013,223267,Zoutelande - feat. Geike - BLØF,4
119,angie,The Rolling Stones,1GcVa4jFySlun4jLSuMhiq,0.429,0.5539999999999999,9,-6.127999999999999,0,0.0291,0.67,0.000152,0.105,0.40700000000000003,136.30200000000002,272000,Angie - The Rolling Stones,2
120,zombie,The Cranberries,7EZC6E7UjZe63f1jRmkWxt,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.36700000000000005,0.312,166.915,306440,Zombie - The Cranberries,5
